Age,Gender,Sentiment,Language,Location,Time,Retweets,Likes,Comments,Keywords
53,Non-binary,Neutral,English,USA,2023-01-01 00:01:34,172,1970,456,"booster, conspiracy, Pfizer, WHO"
54,Non-binary,Negative,French,USA,2023-01-01 00:02:02,510,4910,16,"science, COVID, side effects, polio"
49,Male,Positive,English,India,2023-01-01 00:03:12,319,1857,390,"flu, COVID"
31,Non-binary,Negative,English,USA,2023-01-01 00:03:24,804,1865,474,"trust, public health, trial"
30,Non-binary,Negative,English,Canada,2023-01-01 00:03:50,880,992,419,"data, trust, conspiracy"
58,Female,Neutral,Spanish,Germany,2023-01-01 00:04:39,171,793,179,"polio, efficacy"
65,Female,Neutral,English,USA,2023-01-01 00:04:44,714,3687,423,"measles, trial, Moderna, data"
64,Female,Neutral,English,Germany,2023-01-01 00:10:36,117,477,312,"mRNA, side effects, microchip"
53,Male,Positive,English,USA,2023-01-01 00:10:46,623,375,491,"hoax, mRNA"
37,Male,Neutral,English,Australia,2023-01-01 00:11:33,784,345,155,"Moderna, booster, community, mRNA"
32,Non-binary,Negative,English,USA,2023-01-01 00:12:50,299,197,308,"science, side effects, microchip"
32,Male,Neutral,Spanish,USA,2023-01-01 00:13:05,549,2188,336,"booster, data, Moderna, hospital"
36,Male,Negative,English,India,2023-01-01 00:14:34,758,1314,91,"Pfizer, community, trial, public health"
42,Male,Positive,French,UK,2023-01-01 00:15:38,112,1120,243,"data, WHO, Moderna"
41,Non-binary,Negative,English,USA,2023-01-01 00:16:13,846,3762,404,"health, conspiracy, COVID"
65,Male,Neutral,Spanish,USA,2023-01-01 00:16:46,997,1248,312,"vaccine, Pfizer, conspiracy, Moderna"
17,Male,Negative,English,USA,2023-01-01 00:19:46,193,1997,54,"microchip, booster, trust, efficacy"
45,Male,Neutral,Spanish,USA,2023-01-01 00:20:40,595,2919,284,"health, polio, immunity"
57,Male,Positive,Spanish,USA,2023-01-01 00:20:46,709,1969,315,"hospital, immunity, Moderna"
66,Male,Neutral,English,UK,2023-01-01 00:22:08,436,1604,480,"trial, polio, Moderna"
16,Non-binary,Negative,English,UK,2023-01-01 00:22:56,224,2204,290,"science, trust, measles"
35,Male,Neutral,English,Germany,2023-01-01 00:23:27,222,2136,296,"measles, COVID, polio, science"
54,Non-binary,Neutral,English,USA,2023-01-01 00:25:58,776,2349,369,"microchip, data, trial"
24,Non-binary,Negative,English,UK,2023-01-01 00:27:43,12,2116,343,"trust, Moderna, science"
36,Non-binary,Neutral,German,Canada,2023-01-01 00:29:23,467,1863,406,"microchip, booster"
61,Male,Negative,German,UK,2023-01-01 00:30:21,139,3068,24,"immunity, efficacy, hoax"
28,Male,Negative,English,Germany,2023-01-01 00:40:25,328,814,153,"booster, data, hoax, safe"
39,Female,Negative,English,Canada,2023-01-01 00:41:44,74,4711,301,"efficacy, booster, trial"
18,Male,Neutral,English,UK,2023-01-01 00:42:14,644,2626,136,"conspiracy, vaccine"
39,Non-binary,Negative,German,Canada,2023-01-01 00:42:24,325,1202,201,"safe, efficacy, trust, community"
35,Female,Neutral,German,Germany,2023-01-01 00:45:55,970,362,468,"trial, trust"
40,Male,Positive,Spanish,UK,2023-01-01 00:46:09,786,922,153,"trial, side effects"
53,Female,Positive,German,USA,2023-01-01 00:46:26,288,1118,472,"science, hoax"
28,Non-binary,Positive,English,USA,2023-01-01 00:47:54,409,2035,435,"vaccine, WHO"
16,Male,Positive,Chinese,USA,2023-01-01 00:50:14,242,2898,377,"community, microchip, Pfizer"
63,Male,Neutral,Spanish,UK,2023-01-01 00:50:25,3,3597,100,"mRNA, flu, WHO, trust"
23,Female,Neutral,English,USA,2023-01-01 00:50:27,835,1254,116,"mRNA, side effects"
43,Male,Negative,English,Germany,2023-01-01 00:50:33,260,94,151,"health, polio, Moderna"
23,Female,Neutral,English,Canada,2023-01-01 00:52:37,434,3110,430,"side effects, trial, hospital"
58,Male,Neutral,English,USA,2023-01-01 00:53:43,0,2336,74,"Moderna, polio, Pfizer, community"
44,Female,Neutral,English,UK,2023-01-01 00:56:21,228,4227,28,"flu, side effects, booster"
67,Non-binary,Positive,English,Germany,2023-01-01 00:56:38,723,419,424,"hoax, Moderna"
68,Female,Negative,Spanish,USA,2023-01-01 00:57:21,9,4225,181,"Moderna, WHO"
26,Male,Positive,French,India,2023-01-01 00:59:13,321,2343,266,"microchip, hospital, science, vaccine"
25,Male,Positive,Chinese,Australia,2023-01-01 00:59:47,445,2560,132,"community, side effects, Moderna, safe"
29,Female,Neutral,German,UK,2023-01-01 01:00:05,318,3205,490,"efficacy, public health, trial, community"
35,Male,Positive,English,USA,2023-01-01 01:01:21,502,1908,459,"Moderna, polio, hoax"
16,Non-binary,Negative,English,UK,2023-01-01 01:02:44,844,3719,426,"science, booster"
22,Male,Negative,English,USA,2023-01-01 01:04:51,612,4807,149,"trial, vaccine, side effects, measles"
56,Female,Neutral,English,India,2023-01-01 01:04:58,645,4670,345,"data, trial, microchip"
62,Non-binary,Positive,English,Canada,2023-01-01 01:05:36,320,2597,62,"mRNA, hoax, safe, booster"
35,Non-binary,Negative,Spanish,USA,2023-01-01 01:05:57,25,4018,148,"polio, hoax"
61,Non-binary,Positive,English,UK,2023-01-01 01:07:16,653,2645,385,"polio, vaccine"
29,Male,Positive,French,India,2023-01-01 01:09:06,605,2712,181,"Pfizer, microchip, COVID"
58,Non-binary,Negative,English,USA,2023-01-01 01:09:22,946,3054,0,"conspiracy, flu, vaccine, microchip"
21,Female,Negative,English,Australia,2023-01-01 01:10:25,558,950,89,"polio, conspiracy, safe, side effects"
22,Non-binary,Positive,German,USA,2023-01-01 01:13:56,581,4429,170,"microchip, conspiracy, COVID"
47,Female,Neutral,English,Germany,2023-01-01 01:14:22,5,2449,213,"science, vaccine, Moderna, public health"
43,Male,Neutral,English,USA,2023-01-01 01:14:25,661,4027,110,"flu, efficacy, conspiracy"
22,Non-binary,Negative,English,USA,2023-01-01 01:15:24,89,2243,293,"polio, mRNA, trust, health"
69,Female,Neutral,English,USA,2023-01-01 01:16:45,573,4598,318,"trial, public health"
38,Non-binary,Negative,Chinese,USA,2023-01-01 01:17:07,822,872,105,"mRNA, booster, Moderna"
48,Female,Neutral,English,Canada,2023-01-01 01:17:48,897,1834,197,"flu, polio"
32,Male,Positive,English,India,2023-01-01 01:18:46,918,2674,24,"measles, science, conspiracy"
40,Female,Neutral,English,USA,2023-01-01 01:20:07,649,1955,454,"COVID, measles, health, data"
28,Non-binary,Positive,English,USA,2023-01-01 01:21:41,641,3325,176,"health, immunity"
51,Male,Negative,Spanish,Canada,2023-01-01 01:23:59,846,4916,370,"polio, WHO, science, trust"
64,Male,Neutral,English,Australia,2023-01-01 01:24:09,138,2853,346,"Pfizer, trial, immunity, vaccine"
61,Non-binary,Negative,English,Australia,2023-01-01 01:25:36,418,3005,83,"health, science, side effects, polio"
20,Female,Negative,Spanish,UK,2023-01-01 01:26:17,258,3228,442,"data, COVID, WHO, mRNA"
67,Non-binary,Neutral,English,USA,2023-01-01 01:26:51,898,4820,286,"safe, flu, hospital"
68,Female,Neutral,English,USA,2023-01-01 01:28:46,672,2371,363,"flu, health, mRNA"
42,Non-binary,Negative,English,India,2023-01-01 01:28:55,117,2190,109,"side effects, hoax, Pfizer, COVID"
17,Non-binary,Positive,English,Germany,2023-01-01 01:29:48,136,1252,496,"immunity, conspiracy, hoax"
56,Female,Neutral,English,USA,2023-01-01 01:31:35,901,2891,250,"Pfizer, trial, measles, side effects"
18,Non-binary,Negative,English,USA,2023-01-01 01:31:40,867,3228,127,"hoax, trial, public health"
16,Non-binary,Neutral,English,Canada,2023-01-01 01:32:25,919,1065,295,"science, flu"
54,Male,Positive,Spanish,Canada,2023-01-01 01:33:00,663,3850,126,"Moderna, conspiracy, mRNA"
38,Non-binary,Positive,English,India,2023-01-01 01:33:16,829,3391,375,"trust, Pfizer"
21,Non-binary,Positive,English,Canada,2023-01-01 01:33:17,391,2151,398,"science, polio"
38,Female,Neutral,English,Germany,2023-01-01 01:33:46,542,77,392,"booster, microchip, mRNA, Moderna"
30,Male,Neutral,Spanish,Germany,2023-01-01 01:33:58,910,2443,48,"hoax, science"
29,Male,Neutral,Spanish,USA,2023-01-01 01:36:56,276,235,103,"safe, measles"
52,Male,Neutral,English,Canada,2023-01-01 01:37:13,547,600,461,"vaccine, microchip"
67,Non-binary,Neutral,English,USA,2023-01-01 01:37:25,349,2965,292,"safe, polio, microchip, WHO"
25,Male,Positive,English,USA,2023-01-01 01:37:42,842,1570,323,"vaccine, trial, polio, measles"
37,Non-binary,Neutral,French,USA,2023-01-01 01:38:29,349,2635,495,"WHO, immunity, polio"
28,Non-binary,Negative,French,UK,2023-01-01 01:39:19,549,4612,209,"hoax, Moderna, efficacy, conspiracy"
50,Female,Positive,English,UK,2023-01-01 01:41:18,167,4106,160,"conspiracy, science, health"
59,Male,Positive,English,Germany,2023-01-01 01:48:44,919,2265,454,"COVID, trial"
50,Non-binary,Negative,German,UK,2023-01-01 01:49:35,606,3643,327,"WHO, public health"
18,Male,Neutral,Chinese,USA,2023-01-01 01:49:46,689,3756,178,"vaccine, conspiracy, Pfizer"
33,Male,Neutral,English,Germany,2023-01-01 01:50:55,515,3530,355,"immunity, science, safe, hospital"
58,Non-binary,Neutral,English,UK,2023-01-01 01:51:55,39,2621,50,"trust, booster"
58,Non-binary,Positive,English,India,2023-01-01 01:54:01,731,1318,256,"flu, vaccine"
34,Non-binary,Neutral,Chinese,UK,2023-01-01 01:54:16,531,2597,62,"science, safe, public health, hoax"
61,Non-binary,Neutral,English,Canada,2023-01-01 01:55:02,503,2192,470,"safe, trust, Pfizer"
50,Male,Negative,Chinese,Canada,2023-01-01 01:55:03,893,2912,417,"conspiracy, Pfizer, efficacy, side effects"
66,Non-binary,Positive,English,USA,2023-01-01 01:59:42,440,4033,437,"immunity, science, safe"
67,Non-binary,Neutral,Spanish,UK,2023-01-01 01:59:59,605,3281,360,"science, safe, trust"
