Time,Age,Gender,Sentiment,Language,Location,Retweets,Likes,Comments,Keywords
2023-01-01 00:00:00.000000000,65,Male,Positive,English,USA,20,26,22,"trust, trial, hospital"
2023-01-01 00:43:12.518503700,54,Non-binary,Negative,English,USA,16,22,15,"health, booster, WHO, mRNA"
2023-01-01 01:26:25.037007401,21,Male,Positive,Spanish,UK,10,21,19,"health, hoax"
2023-01-01 02:09:37.555511102,46,Non-binary,Positive,French,USA,24,12,55,"side effects, trial"
2023-01-01 02:52:50.074014802,62,Male,Positive,French,Canada,14,11,25,"community, COVID"
2023-01-01 03:36:02.592518503,33,Male,Positive,English,USA,12,32,22,"mRNA, measles, Moderna"
2023-01-01 04:19:15.111022204,20,Non-binary,Positive,English,Australia,29,46,40,"trust, science, WHO, COVID"
2023-01-01 05:02:27.629525905,34,Non-binary,Positive,Chinese,India,43,26,5,"Moderna, booster, Pfizer, vaccine"
2023-01-01 05:45:40.148029605,41,Non-binary,Positive,English,UK,15,18,18,"science, Pfizer, WHO"
2023-01-01 06:28:52.666533306,67,Non-binary,Positive,German,USA,30,37,15,"science, Pfizer, safe, immunity"
2023-01-01 07:12:05.185037007,57,Female,Positive,English,Canada,22,13,13,"health, immunity, measles"
2023-01-01 07:55:17.703540708,51,Non-binary,Negative,German,Germany,24,34,9,"microchip, trust, Pfizer, mRNA"
2023-01-01 08:38:30.222044408,62,Non-binary,Positive,English,Canada,13,14,18,"conspiracy, polio"
2023-01-01 09:21:42.740548109,21,Non-binary,Positive,English,USA,18,15,28,"health, booster"
2023-01-01 10:04:55.259051810,19,Male,Positive,Spanish,USA,11,17,18,"efficacy, booster, COVID, polio"
2023-01-01 10:48:07.777555511,25,Non-binary,Positive,English,USA,10,19,29,"Pfizer, flu, booster, trial"
2023-01-01 11:31:20.296059211,29,Male,Positive,English,USA,26,31,20,"immunity, trust, measles, trial"
2023-01-01 12:14:32.814562912,17,Male,Positive,English,India,15,10,35,"Pfizer, flu, hoax, science"
2023-01-01 12:57:45.333066613,19,Male,Positive,Spanish,India,12,14,15,"immunity, hoax, measles"
